우편번호|일련번호|시도|시군구|읍면|도로명|시작사서함주번호 |시작사서함부번호|끝사서함주번호|끝사서함부번호
210899|016|강원도|강릉시| |사서함|334|1|334|27
210600|006|강원도|강릉시| |강릉우체국사서함|1| |99|
219839|036|강원도|고성군|간성읍|사서함|71|15| |
219839|166|강원도|고성군|간성읍|사서함|71|20| |
219839|056|강원도|고성군|간성읍|사서함|71|21| |
219839|046|강원도|고성군|간성읍|사서함|71|22| |
219839|026|강원도|고성군|간성읍|사서함|71|13| |
219839|016|강원도|고성군|간성읍|사서함|71|11| |
219839|006|강원도|고성군|간성읍|사서함|71|28| |
219839|066|강원도|고성군|거진읍|사서함|71|4| |
219839|076|강원도|고성군|거진읍|사서함|71|16| |
219839|116|강원도|고성군|죽왕면|사서함|71|18| |
219839|106|강원도|고성군|죽왕면|사서함|71|23| |
219839|086|강원도|고성군|죽왕면|사서함|71|9| |
219839|096|강원도|고성군|죽왕면|사서함|71|17| |
219839|186|강원도|고성군|토성면|사서함|71|12| |
219839|196|강원도|고성군|토성면|사서함|71|14| |
219839|146|강원도|고성군|토성면|사서함|71|1|71|3
219839|136|강원도|고성군|토성면|사서함|71|10| |
219839|206|강원도|고성군|토성면|사서함|71|27| |
219839|126|강원도|고성군|토성면|사서함|71|5|71|7
219839|176|강원도|고성군|토성면|사서함|71|8| |
245899|026|강원도|동해시| |사서함|73|7| |
245899|016|강원도|동해시| |사서함|73|4| |
240899|016|강원도|동해시| |사서함|604|20| |
240600|006|강원도|동해시| |동해우체국사서함|1| |99|
240899|026|강원도|동해시| |사서함|604|21|604|25
245899|086|강원도|동해시| |사서함|73|2| |
245899|076|강원도|삼척시|근덕면|사서함|73|13| |
245899|096|강원도|삼척시|근덕면|사서함|73|18| |
245899|046|강원도|삼척시| |사서함|73|3| |
245899|106|강원도|삼척시| |사서함|73|8|73|12
245899|066|강원도|삼척시| |사서함|73|15|73|17
245899|056|강원도|삼척시| |사서함|73|5|73|6
245600|006|강원도|삼척시| |삼척우체국사서함|1| |99|
245899|036|강원도|삼척시| |사서함|73|1| |
217600|006|강원도|속초시| |속초우체국사서함|1| |99|
219839|156|강원도|속초시| |사서함|71|25| |
255809|146|강원도|양구군|남면|사서함|108|11| |
255809|016|강원도|양구군|남면|사서함|108|6| |
255809|116|강원도|양구군|남면|사서함|108|13| |
255809|176|강원도|양구군|남면|사서함|108|16| |
255809|006|강원도|양구군|남면|사서함|108|5| |
255809|106|강원도|양구군|남면|사서함|108|26| |
255809|026|강원도|양구군|남면|사서함|108|7|108|8
